	REG	region	total_commune	mortality_commune	total_population	mortality_population	completeness
0	14	Abruzzo	305	156	1307309.0	742107.0	0.568
0	18	Basilicata	131	37	578036.0	132724.0	0.23
0	19	Calabria	404	122	1959050.0	689261.0	0.352
0	16	Campania	550	191	5766810.0	1500450.0	0.26
0	9	Emilia-Romagna	328	249	4342135.0	3633318.0	0.837
0	7	Friuli Venezia Giulia	215	119	1220291.0	438232.0	0.359
0	13	Lazio	378	134	5502886.0	1157274.0	0.21
0	8	Liguria	234	98	1570694.0	1203270.0	0.766
0	4	Lombardia	1506	1066	9704151.0	7575506.0	0.781
0	12	Marche	228	111	1541319.0	739759.0	0.48
0	15	Molise	136	68	313660.0	172638.0	0.55
0	2	Piemonte	1181	783	4363916.0	2607370.0	0.597
0	17	Puglia	257	133	4052566.0	2436955.0	0.601
0	21	Sardegna	377	231	1639362.0	908249.0	0.554
0	20	Sicilia	390	155	5002904.0	2479652.0	0.496
0	10	Toscana	273	196	3672202.0	2924708.0	0.796
0	5	Trentino-Alto Adige/Südtirol	282	96	1029475.0	408493.0	0.397
0	11	Umbria	92	41	884268.0	629179.0	0.712
0	3	Valle d'Aosta	74	59	126806.0	111734.0	0.881
0	6	Veneto	563	382	4855904.0	3524926.0	0.726
